,gen,score,total,angle,range,speed,rspeed
40,0,3,30,157.71,22.47,23.79,287.11
41,0,3,30,145.64,14.96,24.15,299.86
42,0,3,30,127.02,10.78,23.37,161.4
43,0,2,30,118.03,22.88,23.12,282.82
44,0,2,30,105.8,19.31,16.14,157.7
45,0,2,30,149.56,22.95,20.65,279.71
46,0,2,30,147.74,23.53,17.84,201.55
47,0,2,30,97.07,11.68,16.49,217.83
48,0,2,30,118.54,9.04,21.6,163.83
49,0,1,30,135.27,8.05,14.23,163.7
50,0,1,30,136.23,12.98,21.63,198.42
51,0,1,30,95.29,12.88,18.08,227.44
52,0,1,30,154.95,23.8,16.12,292.36
53,0,1,30,113.94,10.37,12.86,250.52
54,0,1,30,122.39,17.45,15.16,240.3
55,0,1,30,139.81,16.41,18.29,173.47
56,0,1,30,148.49,24.98,23.98,232.57
57,0,1,30,108.91,11.45,18.89,237.63
58,0,0,30,138.11,12.29,10.22,156.97
59,0,0,30,116.62,12.95,10.83,276.98
60,0,0,30,111.58,17.88,19.37,200.07
61,0,0,30,159.51,16.63,17.33,177.83
62,0,0,30,91.33,24.89,11.26,152.79
63,0,0,30,106.33,11.14,18.76,244.49
64,0,0,30,108.32,14.06,13.77,224.27
65,0,0,30,151.9,14.05,12.68,180.28
66,0,0,30,113.58,8.73,17.67,249.49
67,0,0,30,107.05,9.93,15.51,232.09
68,0,0,30,156.19,20.52,11.9,201.02
69,0,0,30,126.26,24.66,11.35,180.16
70,1,3,30,124.71,14.11,19.26,200.85
71,1,3,30,149.02,23.97,22.31,230.53
72,1,3,30,126.5,17.67,20.93,257.27
73,1,3,30,131.83,18.92,23.64,291.34
74,1,2,30,125.72,15.42,20.14,228.78
75,1,2,30,156.33,23.13,19.96,289.73
76,1,2,30,152.72,23.0,20.82,244.33
77,1,2,30,112.17,14.17,18.87,160.77
78,1,2,30,147.6,18.96,22.4,289.78
79,1,2,30,116.31,17.2,19.77,258.67
80,1,1,30,159.16,19.68,19.47,226.59
81,1,1,30,116.41,15.04,19.76,159.55
82,1,1,30,128.32,17.49,18.37,219.59
83,1,1,30,113.73,10.24,20.24,200.73
84,1,1,30,142.42,15.5,17.44,221.71
85,1,1,30,132.88,23.2,20.48,242.18
86,1,0,30,134.44,17.09,14.49,298.58
87,1,0,30,112.04,11.23,17.94,189.61
88,1,0,30,133.14,16.29,19.72,182.69
89,1,0,30,127.68,23.24,18.4,218.7
90,1,0,30,122.78,9.91,22.48,162.61
91,1,0,30,146.69,19.25,21.0,250.7
92,1,0,30,151.11,17.16,20.61,181.47
93,1,0,30,147.38,20.1,17.21,232.91
94,1,0,30,124.71,14.11,19.26,200.85
95,1,0,30,109.73,14.57,15.82,229.06
96,1,0,30,157.71,22.47,23.79,287.11
97,1,0,30,139.44,21.42,16.99,179.63
98,1,0,30,130.84,16.95,15.35,226.03
99,1,0,30,122.78,9.91,22.48,162.61
100,2,6,30,140.43,21.44,22.97,260.93
101,2,3,30,130.6,19.07,20.59,195.65
102,2,2,30,131.83,18.92,23.64,291.34
103,2,2,30,137.37,19.69,19.11,229.65
104,2,2,30,126.5,17.67,20.93,257.27
105,2,2,30,150.87,23.48,21.57,237.43
106,2,2,30,134.52,20.1,20.29,251.5
107,2,1,30,153.38,19.32,20.93,258.18
108,2,1,30,140.24,21.08,21.44,265.98
109,2,1,30,119.34,15.92,19.9,209.02
110,2,1,30,137.96,18.22,20.38,254.69
111,2,1,30,138.71,18.56,20.04,222.59
112,2,1,30,138.71,18.56,20.04,222.59
113,2,1,30,136.32,20.17,19.86,274.2
114,2,1,30,139.22,19.21,20.48,236.55
115,2,1,30,125.6,15.89,20.1,229.06
116,2,1,30,129.37,16.35,18.61,240.19
117,2,1,30,151.96,21.05,21.18,289.76
118,2,0,30,148.31,21.46,22.36,260.15
119,2,0,30,136.32,20.17,19.86,246.78
120,2,0,30,134.46,16.59,19.19,239.49
121,2,0,30,149.37,19.32,18.7,255.72
122,2,0,30,143.74,18.59,17.03,223.09
123,2,0,30,126.51,15.8,18.81,210.22
124,2,0,30,136.15,16.54,20.83,245.32
125,2,0,30,128.27,16.52,21.45,246.09
126,2,0,30,122.78,14.58,21.94,246.03
127,2,0,30,140.52,18.62,19.61,245.29
128,2,0,30,128.79,18.66,19.87,221.52
129,2,0,30,152.72,23.0,22.9,244.33
130,3,4,30,129.02,17.24,19.97,215.8
131,3,3,30,138.97,18.88,22.29,229.57
132,3,2,30,140.43,21.44,22.97,260.93
133,3,2,30,138.9,20.57,21.04,245.29
134,3,2,30,145.67,18.77,20.66,256.43
135,3,2,30,138.04,19.13,21.53,226.12
136,3,2,30,132.16,17.23,20.07,225.82
137,3,1,30,152.67,20.18,21.06,273.97
138,3,1,30,133.46,19.56,21.95,259.1
139,3,1,30,137.47,20.77,21.63,256.21
140,3,1,30,124.97,17.5,20.25,202.33
141,3,1,30,144.12,21.59,20.34,233.54
142,3,1,30,138.97,18.88,20.26,229.57
143,3,1,30,127.83,18.05,19.88,217.45
144,3,1,30,139.83,20.33,21.73,248.74
145,3,1,30,134.28,18.65,20.49,225.17
146,3,1,30,132.56,19.59,20.44,223.57
147,3,1,30,149.07,20.26,21.78,228.29
148,3,1,30,128.72,17.41,21.87,260.2
149,3,1,30,120.12,19.56,21.95,259.1
150,3,0,30,126.5,17.67,20.93,257.27
151,3,0,30,146.9,20.38,21.95,259.56
152,3,0,30,137.37,19.69,19.11,229.65
153,3,0,30,146.05,18.94,20.49,240.39
154,3,0,30,129.02,17.24,19.97,237.38
155,3,0,30,140.34,19.13,22.21,263.46
156,3,0,30,134.9,18.9,20.79,250.56
157,3,0,30,138.97,18.88,20.26,229.57
158,3,0,30,140.43,21.44,22.97,260.93
159,3,0,30,136.62,19.33,20.17,237.04
160,4,3,30,135.98,19.82,20.11,225.49
161,4,3,30,141.08,20.36,20.93,229.83
162,4,3,30,133.84,18.15,21.06,244.88
163,4,3,30,136.75,18.41,20.27,236.94
164,4,2,30,135.56,18.06,20.17,227.7
165,4,2,30,140.43,21.44,22.97,260.93
166,4,2,30,137.35,18.01,20.32,236.12
167,4,2,30,134.0,18.06,21.13,222.69
168,4,2,30,129.08,19.34,21.74,242.61
169,4,1,30,120.84,18.87,21.8,254.47
170,4,1,30,140.25,19.11,20.47,245.71
171,4,1,30,129.99,17.64,19.98,221.64
172,4,1,30,134.0,18.06,20.12,222.69
173,4,1,30,138.5,19.0,21.91,227.85
174,4,1,30,143.55,19.69,21.66,227.2
175,4,1,30,133.1,21.0,21.75,258.21
176,4,1,30,138.19,20.67,21.34,250.75
177,4,0,30,138.91,18.0,20.36,241.13
178,4,0,30,146.25,20.25,21.39,261.36
179,4,0,30,132.89,19.16,21.31,257.77
180,4,0,30,137.02,16.99,21.02,215.31
181,4,0,30,133.36,19.31,20.46,231.37
182,4,0,30,133.25,19.01,20.8,236.01
183,4,0,30,134.0,18.06,20.12,222.69
184,4,0,30,127.2,19.1,21.22,242.13
185,4,0,30,133.36,19.31,20.46,254.51
186,4,0,30,128.87,17.32,18.83,238.0
187,4,0,30,133.96,18.9,20.51,230.55
188,4,0,30,135.56,18.06,21.18,227.7
189,4,0,30,139.67,21.0,22.01,278.42
190,5,3,30,135.3,18.28,20.67,240.91
191,5,3,30,136.17,18.58,21.49,236.37
192,5,2,30,130.96,21.57,21.37,242.15
193,5,2,30,136.25,18.53,21.01,247.79
194,5,2,30,137.14,19.79,22.02,252.91
195,5,2,30,128.8,18.64,21.03,245.71
196,5,2,30,139.31,21.06,22.16,255.84
197,5,1,30,138.0,19.75,21.57,244.31
198,5,1,30,134.99,18.94,20.62,224.09
199,5,1,30,143.55,19.69,21.66,227.2
200,5,1,30,137.35,18.01,20.32,236.12
201,5,1,30,135.37,18.24,20.7,229.81
202,5,1,30,134.7,18.1,20.61,236.29
203,5,1,30,131.54,18.7,21.44,232.65
204,5,1,30,139.63,20.51,21.14,240.29
205,5,1,30,140.76,20.9,21.95,245.38
206,5,1,30,140.67,19.74,20.7,237.77
207,5,1,30,136.16,18.23,18.2,232.32
208,5,1,30,136.16,18.23,20.22,209.09
209,5,1,30,133.92,18.1,21.1,233.79
210,5,1,30,134.76,20.39,22.36,251.77
211,5,0,30,135.77,18.94,20.14,226.6
212,5,0,30,138.59,19.93,21.62,248.94
213,5,0,30,132.53,19.58,20.93,234.05
214,5,0,30,136.16,18.23,20.22,232.32
215,5,0,30,137.46,19.25,21.0,237.36
216,5,0,30,138.59,19.93,21.62,248.94
217,5,0,30,139.56,18.87,23.0,227.45
218,5,0,30,122.56,18.58,21.49,236.37
219,5,0,30,135.3,18.28,20.67,240.91
220,6,3,30,133.12,18.4,21.03,234.47
221,6,3,30,135.73,18.43,21.08,238.64
222,6,3,30,135.73,18.43,21.08,238.64
